Payment Number,Payment Number Prefix,Payment Number Suffix,VendorPayment ID,Date,Vendor Name,Location ID,Location Name,Mode,Description,Exchange Rate,Currency Code,Amount,Paid Through,Reference Number,PIPayment ID,Bill Date,Bill Number,Bill Amount,Payment Status,Bank Charges
248,,248,5623409000002038994,2026-03-02,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,158.090,Goods In Transit,,5623409000002044003,2026-03-02,60915065,158.090,Paid,0.000
249,,249,5623409000002044140,2026-02-26,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,92.660,Goods In Transit,,5623409000002044149,2026-02-26,60817518,92.660,Paid,0.000
250,,250,5623409000002044348,2026-02-25,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,42.220,Goods In Transit,,5623409000002044357,2026-02-25,60809131,42.220,Paid,0.000
251,,251,5623409000002044610,2026-03-27,Goodwill,5623409000000090078,Head Office,Cash,,1.000000000000,USD,30.700,Goods In Transit,,5623409000002044619,2026-03-27,61475011,30.700,Paid,0.000
253,,253,5623409000002044904,2026-03-27,Goodwill Industries of the Columbia Willamette,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,35.780,Goods In Transit,,5623409000002044913,2026-03-27,61476667,35.780,Paid,0.000
261,,261,5623409000002081109,2026-03-01,johnevans1970,5623409000000090078,Head Office,Credit Card,Auto-created from eBay purchase-order backfill,1.000000000000,USD,458.950,Goods In Transit,23-14284-85259,5623409000002081118,2026-03-01,23-14284-85259,458.950,Paid,0.000
262,,262,5623409000002079185,2026-03-05,superpackage,5623409000000090078,Head Office,Credit Card,Auto-created from eBay purchase-order backfill,1.000000000000,USD,79.000,Goods In Transit,22-14306-60806,5623409000002079194,2026-03-05,22-14306-60806,79.000,Paid,0.000
263,,263,5623409000002082248,2026-03-22,gazelle-intensity,5623409000000090078,Head Office,Credit Card,Auto-created from eBay purchase-order backfill,1.000000000000,USD,212.160,Goods In Transit,05-14408-95581,5623409000002082257,2026-04-22,05-14408-95581,212.160,Paid,0.000
264,,264,5623409000002086172,2026-03-27,jwaterloo11128,5623409000000090078,Head Office,Credit Card,Auto-created from eBay purchase-order backfill,1.000000000000,USD,80.000,Goods In Transit,06-14428-18620,5623409000002086181,2026-03-31,06-14428-18620,80.000,Paid,0.000
286,,286,5623409000002091635,2026-03-06,scpol3888,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,75.940,Goods In Transit,,5623409000002091644,2026-03-06,09-14329-07908,75.940,Paid,0.000
287,,287,5623409000002091787,2026-02-24,the-second-wave,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,68.740,Goods In Transit,,5623409000002091796,2026-02-24,18-14269-36834,68.740,Paid,0.000
288,,288,5623409000002091929,2026-02-19,maxxin,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,52.990,Goods In Transit,,5623409000002091938,2026-02-19,06-14261-91577,52.990,Paid,0.000
291,,291,5623409000002117090,2026-03-27,Amazon.com,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,398.000,Goods In Transit,,5623409000002117099,2026-03-27,112-3457145-4417816,398.000,Paid,0.000
293,,293,5623409000002124106,2026-03-20,Resurs2 Corporation,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,1415.000,Goods In Transit,,5623409000002124115,2026-03-20,0079,1415.000,Paid,0.000
302,,302,5623409000002131679,2026-03-09,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,68.210,Goods In Transit,,5623409000002131688,2026-03-09,61068269,68.210,Paid,0.000
336,,336,5623409000002170219,2026-03-24,B&H Photo,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,180.000,Goods In Transit,,5623409000002170224,2026-03-24,1128056914,180.000,Paid,0.000
337,,337,5623409000002169921,2026-03-29,padissestate,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,271.860,Payments to deposit,,5623409000002169926,2026-03-29,05-14436-87370,271.860,Paid,0.000
339,,339,5623409000002165299,2026-03-22,Goodwill,5623409000000090078,Head Office,Credit Card,,1.000000000000,USD,32.000,Goods In Transit,,5623409000002165304,2026-03-22,61374040,32.000,Paid,0.000
