Item Name,SKU,Sales Description,Selling Price,Is Returnable Item,Brand,Manufacturer,UPC,EAN,ISBN,Part Number,Product Type,Sales Account,Unit,Purchase Description,Purchase Price,Item Type,Purchase Account,Inventory Account,Reorder Level,Preferred Vendor,Opening Stock,Opening Stock Value,Package Weight,Package Length,Package Width,Package Height,Weight unit,Dimension unit,Warehouse Name
Bose 151 SE or 161 - Wall Mount Brackets Black,00007-P-4-BK,Bose 151 SE or 161 - Wall Mount Brackets Black,,False,,,,,,,goods,Sales,pcs,Bose 151 SE or 161 - Wall Mount Brackets Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose FS-1 Bookshelf Speaker Floorstands,00008,Bose FS-1 Bookshelf Speaker Floorstands,,False,,,,,,,goods,Sales,pcs,Bose FS-1 Bookshelf Speaker Floorstands,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose FS-1 Bookshelf Speaker Floorstands Black,00008-BK,Bose FS-1 Bookshelf Speaker Floorstands Black,,False,,,,,,,goods,Sales,pcs,Bose FS-1 Bookshelf Speaker Floorstands Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Companion 3 Multimedia Speaker System,00009,Bose Companion 3 Multimedia Speaker System,,False,,,,,,,goods,Sales,pcs,Bose Companion 3 Multimedia Speaker System,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Companion 3 Multimedia Speaker System Graphite,00009-GR,Bose Companion 3 Multimedia Speaker System Graphite,,False,,,,,,,goods,Sales,pcs,Bose Companion 3 Multimedia Speaker System Graphite,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Companion 3 Multimedia Speaker System,00009-SV,Bose Companion 3 Multimedia Speaker System,,False,,,,,,,goods,Sales,pcs,Bose Companion 3 Multimedia Speaker System,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Companion 3 Multimedia Speaker System - Subwoofer Speaker Driver,00009-P-1,Bose Companion 3 Multimedia Speaker System - Subwoofer Speaker Driver,,False,,,,,,,goods,Sales,pcs,Bose Companion 3 Multimedia Speaker System - Subwoofer Speaker Driver,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Wave Audio System Radio/CD,00010,Bose Wave Audio System Radio/CD,,False,,,,,,,goods,Sales,pcs,Bose Wave Audio System Radio/CD,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Wave Audio System Radio/CD Grey,00010-GY,Bose Wave Audio System Radio/CD Grey,,False,,,,,,,goods,Sales,pcs,Bose Wave Audio System Radio/CD Grey,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Lifestyle 38 DVD Home Entertainment System,00011,Bose Lifestyle 38 DVD Home Entertainment System,,False,,,,,,,goods,Sales,pcs,Bose Lifestyle 38 DVD Home Entertainment System,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Lifestyle SA-2 Amplifier,00012,Bose Lifestyle SA-2 Amplifier,,False,,,,,,,goods,Sales,pcs,Bose Lifestyle SA-2 Amplifier,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 GS Series II DVD Home Entertainment System,00013,Bose 321 GS Series II DVD Home Entertainment System,,False,,,,,,,goods,Sales,pcs,Bose 321 GS Series II DVD Home Entertainment System,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 GS Series II DVD Home Entertainment System,00013-SV,Bose 321 GS Series II DVD Home Entertainment System,,False,,,,,,,goods,Sales,pcs,Bose 321 GS Series II DVD Home Entertainment System,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 GS Series II DVD Home Entertainment System Graphite,00013-GR,Bose 321 GS Series II DVD Home Entertainment System Graphite,,False,,,,,,,goods,Sales,pcs,Bose 321 GS Series II DVD Home Entertainment System Graphite,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 GS Series II DVD Home Entertainment System Graphite Refurbished,00013-GR-R,Bose 321 GS Series II DVD Home Entertainment System Graphite Refurbished,,False,,,,,,,goods,Sales,pcs,Bose 321 GS Series II DVD Home Entertainment System Graphite Refurbished,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 GS Series II DVD Home Entertainment System - Media Center,00013-P-1,Bose 321 GS Series II DVD Home Entertainment System - Media Center,,False,,,,,,,goods,Sales,pcs,Bose 321 GS Series II DVD Home Entertainment System - Media Center,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System,00014,Bose 321 Series II DVD Home Entertainment System,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System Graphite,00014-GR,Bose 321 Series II DVD Home Entertainment System Graphite,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System Graphite,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System - Media Center Refurbished,00014-P-1-R,Bose 321 Series II DVD Home Entertainment System - Media Center Refurbished,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System - Media Center Refurbished,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System - Media Center,00014-P-1,Bose 321 Series II DVD Home Entertainment System - Media Center,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System - Media Center,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System - Media Center New,00014-P-1-N,Bose 321 Series II DVD Home Entertainment System - Media Center New,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System - Media Center New,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System - Media Center Used,00014-P-1-U,Bose 321 Series II DVD Home Entertainment System - Media Center Used,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System - Media Center Used,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System - Main Circuit Board,00014-P-2,Bose 321 Series II DVD Home Entertainment System - Main Circuit Board,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System - Main Circuit Board,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System - Subwoofer Used,00014-P-3-U,Bose 321 Series II DVD Home Entertainment System - Subwoofer Used,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System - Subwoofer Used,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
