"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in USD, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time: posted date/time of the transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,Transaction Status,Transaction Release Date
"Apr 19, 2026 1:00:29 PM PDT",26158739451,Order,114-7671408-8927464,AH-GZU6-NKEM,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",1,amazon.com,Standard Orders,Amazon,LARGO,FL,33770,MarketplaceFacilitator,27.88,1.95,2.99,0,0,0,0,0,-2.99,0,-1.95,-4.18,-4.2,0,0,19.5,Released,"Apr 27, 2026 4:32:51 AM PDT"
"Apr 19, 2026 1:02:49 PM PDT",26293156651,Order,114-7833970-8780207,IY-GO3Y-T1CL,Wall Mount Brackets Black (Pair) for Bose Cinemate Series II Satellite Speakers,1,amazon.com,Standard Orders,Amazon,PARK HILLS,KY,41011,MarketplaceFacilitator,20.88,1.25,0,0,0,0,0,0,0,0,-1.25,-3.13,-3.86,0,0,13.89,Released,"Apr 28, 2026 8:36:54 AM PDT"
"Apr 19, 2026 1:17:29 PM PDT",26158739451,Shipping Services,112-6335949-7454602,,Adjustment,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.14,-12.14,Released,"Apr 19, 2026 1:17:29 PM PDT"
"Apr 19, 2026 2:30:46 PM PDT",26158739451,Order,112-1192932-5466628,FJ-YYXV-BKTN,USAV Set of 5 Speaker Cable for Bose Lifestyle Acoustimass System - RCA to Bare Wire,1,amazon.com,Standard Orders,Amazon,FULLERTON,CA,92831,MarketplaceFacilitator,59.88,4.64,2.99,0,0,0,0,0,-2.99,0,-4.64,-8.98,-6.45,0,0,44.45,Released,"Apr 27, 2026 4:12:47 PM PDT"
"Apr 19, 2026 3:57:18 PM PDT",26293156651,Order,114-7574250-0909017,NA-SZ9C-0XMT,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",1,amazon.com,Standard Orders,Amazon,COLUMBUS,OH,43204,MarketplaceFacilitator,27.88,2.23,0,0,0,0,0,0,0,0,-2.23,-4.18,-3.65,0,0,20.05,Released,"Apr 28, 2026 12:13:49 AM PDT"
"Apr 19, 2026 3:58:55 PM PDT",26293156651,Order,112-8113688-8015444,A1-WJMC-3ELC,Bose SoundDock Series II 30-Pin iPod/iPhone Speaker Dock (Silver),1,amazon.com,Standard Orders,Amazon,MARIETTA,GA,30062,MarketplaceFacilitator,198,11.88,0,0,0,0,0,0,0,0,-11.88,-22.84,-8.75,0,0,166.41,Released,"Apr 29, 2026 11:18:41 PM PDT"
"Apr 19, 2026 4:54:35 PM PDT",26293156651,Order,111-6297153-1873032,CZ-G5NU-3JFT,USAV OEM Bluetooth Adapter for Bose Lifestyle | Bose 321,1,amazon.com,Standard Orders,Amazon,PACOIMA,CA,91331,MarketplaceFacilitator,27.88,2.72,0,0,0,0,0,0,0,0,-2.72,-4.18,-3.97,0,0,19.73,Released,"May 2, 2026 6:53:29 AM PDT"
"Apr 19, 2026 5:02:14 PM PDT",26293156651,Order,111-5296061-0305803,NA-SZ9C-0XMT,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",1,amazon.com,Standard Orders,Amazon,INVERNESS,CA,94937,MarketplaceFacilitator,27.88,2.3,0,0,0,0,0,0,0,0,-2.3,-4.18,-3.65,0,0,20.05,Released,"Apr 28, 2026 1:06:49 AM PDT"
"Apr 19, 2026 6:14:45 PM PDT",26293156651,Order,113-7376691-9954637,QU-0W1L-CCVB,USAV Wall Mount Ceiling Bracket for Bose Jewel Cube Speaker - Pair Black,1,amazon.com,Standard Orders,Amazon,Millbrae,CA,94030,MarketplaceFacilitator,20.88,1.96,0,0,0,0,0,0,0,0,-1.96,-3.13,-4.09,0,0,13.66,Released,"Apr 28, 2026 1:31:43 PM PDT"
"Apr 19, 2026 6:47:41 PM PDT",26158739451,FBA Inventory Fee,+2bzO21668,,FBA Removal Order: Return Fee,,Amazon.com,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.84,-0.84,Released,"Apr 19, 2026 6:47:41 PM PDT"
