snapshot-date,sku,fnsku,asin,product-name,condition,available,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-366-to-455-days,inv-age-456-plus-days,currency,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,DEPRECATED healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,no-sale-last-6-months,Total Reserved Quantity,unfulfillable-quantity,quantity-to-be-charged-ais-181-210-days,estimated-ais-181-210-days,quantity-to-be-charged-ais-211-240-days,estimated-ais-211-240-days,quantity-to-be-charged-ais-241-270-days,estimated-ais-241-270-days,quantity-to-be-charged-ais-271-300-days,estimated-ais-271-300-days,quantity-to-be-charged-ais-301-330-days,estimated-ais-301-330-days,quantity-to-be-charged-ais-331-365-days,estimated-ais-331-365-days,quantity-to-be-charged-ais-366-455-days,estimated-ais-366-455-days,quantity-to-be-charged-ais-456-plus-days,estimated-ais-456-plus-days,historical-days-of-supply,fba-minimum-inventory-level,fba-inventory-level-health-status,Recommended ship-in quantity,Recommended ship-in date,Last updated date for Historical Days of Supply,Exempted from Low-Inventory-Level fee?,Low-Inventory-Level fee applied in current week?,Short term historical days of supply,Long term historical days of supply,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Transfer,Reserved FC Processing,Reserved Customer Order,Reserved Staging,Total Days of Supply (including units from open shipments),supplier,is-seasonal-in-next-3-months,season-name,season-start-date,season-end-date,Zoho SKU
6/8/2026,0O-SL23-SM1S,X002N5HJKF,B008EWNVI4,Bose Solo TV Sound System,Used,1,0,1,0,0,0,0,0,USD,0,1,1,1,Low traffic,218.88,0,0,125,NoRestockExcessActionRequired,,,0,0,,1.33,1.67125,cubic feet,Oversize,1.67125,US,gl_electronics,189332,,0,4,13,159.95,0,218.88,218.88,218.88,0,1,0,0,0,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,52,,,,,6/8/2026,Yes,No,38,52,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,4T-3IUV-R6NI,X004V1QUJ5,B011U9G5IK,Bose Sound Touch Series II Wireless Adapter,Used,3,0,0,0,3,0,0,0,USD,,,,,Low traffic,198,0,0,198,Create removal order,,0,0,0,117.5,0,0.08259,cubic feet,Standard,0.24777,US,gl_electronics,329271,,3,,,198,,,,,0,0,0,3,0,0.55,0,0,0,0,3,0,0,0,0,0,0,3,0.37,0,0,0,0,0,0,0,0,0,0,,,Excess,,,,,,,,6/6/2026,3,0,0,0,0,,unassigned,N,,,,
6/8/2026,00028-1,X00512GR4L,B001GN1IQU,Bose SoundDock Remote - Gray,Used,1,0,1,0,0,0,0,0,USD,0,12,28,38,,27.88,0,0,0,CreateShippingPlan,,22.3,9,0,9.55,8.14,0.001497,cubic feet,Standard,0.001497,US,gl_electronics,83627,,0,0,0,27.88,0,334.56,786.64,1089.44,1,0,0,0,0,0,0,0,0,0,,0,1,,,,,,,,,,,,,,,,,15.4,,,,,6/8/2026,Yes,No,11,15.4,6/6/2026,2,1,0,0,0,,unassigned,N,,,,
6/8/2026,1780,X004QL7NNR,B011IH6MPU,Bose SoundTouch 130 Home Theater System - Black,Used,1,0,0,1,0,0,0,0,USD,,,,,Low traffic,628,0,0,628,Lower price,,568,9,0,1313.48,0,5.791042,cubic feet,Oversize,5.791042,US,gl_electronics,568904,,1,,,568,,,,,0,0,0,0,0,4.14,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,Excess,,,,,,,,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,VO-UAMG-Y6ZI,X002LWDZHV,B00021Y9NQ,Bose Wave AM/FM Clock Radio - Model AWR1G1 - Graphite,Used,1,0,0,0,0,1,0,0,USD,0,1,1,1,Low traffic,178,0,0,169.99,NoRestockExcessActionRequired,,0,0,0,346.6,0.57,1.377315,cubic feet,Oversize,1.377315,US,gl_electronics,104382,,1,4,13,120.5,0,178,178,178,0,0,0,1,0,8.21,0,0,0,0,,0,0,0,0,0,0,0,0,1,7.51,0,0,0,0,0,0,0,0,167,,Excess,,,6/8/2026,Yes,No,47,167,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,3F-AVUX-RGWW,X0049413B9,B011IH6MBO,Bose Wave Music System IV - Espresso Black,Used,1,0,1,0,0,0,0,0,USD,0,0,1,2,Low conversion,568,0,1789,549.99,CreateShippingPlan,,454.4,9,0,256.51,0.73,1.035434,cubic feet,Oversize,1.035434,US,gl_electronics,36596,8,0,,6,1800,0,0,568,1236,0,0,1,0,0,0.74,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,14,Low stock,20,6/13/2026,,,,,50,6/6/2026,1,0,0,0,0,8,unassigned,N,,,,
6/8/2026,B6-ARNI-JB80,X004BHNIQ7,B011IH6MBO,Bose Wave Music System IV - Espresso Black,Used,2,0,2,0,0,0,0,0,USD,,,,,Low conversion,786,0,1789,549.99,Lower price,,568,9,0,560.01,0.73,1.036314,cubic feet,Oversize,2.072628,US,gl_electronics,36596,17,0,,,1800,,,,,0,0,2,0,0,1.48,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,1,Healthy,19,6/13/2026,,,,,,6/6/2026,2,0,0,0,0,17,unassigned,N,,,,
6/8/2026,IH-006H-ODYH,X0049Q6ZHT,B011IH6N0Y,Bose Wave Music System IV - Platinum Silver,Used,2,0,2,0,0,0,0,0,USD,0,0,0,0,Low conversion,768,0,0,559,Lower price,,423,9,0,563.56,0,0.999259,cubic feet,Oversize,1.998518,US,gl_electronics,113067,,0,,,423.54,0,0,0,0,0,0,2,0,0,1.43,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2026,2,0,0,0,0,,unassigned,N,,,,
6/8/2026,XN-LRYH-V70V,X003VAFLQF,B011IH6N0Y,Bose Wave Music System IV - Platinum Silver,Used,1,0,0,1,0,0,0,0,USD,0,0,0,0,Low conversion,559.88,0,0,559,Lower price,,423,9,0,269.99,0,0.999259,cubic feet,Oversize,0.999259,US,gl_electronics,113067,,1,,,423.54,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,Excess,,,,,,,,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,1846,X004O8NB0V,B011IH6MI2,"Bose Wave SoundTouch Music System IV, Works with Alexa, Platinum Silver - 738031-1310",Used,1,0,1,0,0,0,0,0,USD,0,0,0,0,Low conversion,698,0,0,698,Lower price,,558.4,9,0,326.03,0,1.250651,cubic feet,Oversize,1.250651,US,gl_electronics,69845,,0,,,698,0,0,0,0,0,0,1,0,0,0.89,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,7B-HHPJ-XPV8,X004MURN6T,B00K72E45S,Bose Wave® Music System III - Limited-Edition Blue,Used,1,0,0,1,0,0,0,0,USD,0,0,0,0,Low conversion,768,0,0,768,Lower price,,455,9,0,285.1,0,0.991476,cubic feet,Oversize,0.991476,US,gl_electronics,57240,,1,,,455,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,Excess,,,,,,,,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
6/8/2026,KA-E10M-X9K5,X0038RTK09,B007ZC99Q2,Bose Wave® Music System III - Titanium Silver,Used,1,0,1,0,0,0,0,0,USD,0,1,1,1,,458,0,0,458,NoRestockExcessActionRequired,,343,9,0,354.41,0.8,1.497034,cubic feet,Oversize,1.497034,US,gl_electronics,24139,,0,4,13,345,0,458,458,458,0,0,1,0,0,1.07,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,143,,,,,6/8/2026,Yes,No,41,143,6/6/2026,1,0,0,0,0,,unassigned,N,,,,
