variant_full_sku,variant_name,platform,external_ref_id,listed_name
00017-P-2-N,Bose Wave Radio II - Power Cord New,EBAY_USAV,362752744386,Wave Radio II power cord - NEW
00017-P-2-N,Bose Wave Radio II - Power Cord New,ECWID,04753,Wave Radio II power cord - NEW
00017-PL,Bose Wave Radio II Platinum White,AMAZON,B0009I94LE,Bose Wave Radio II - Platinum White
00017-PL,Bose Wave Radio II Platinum White,EBAY_MEKONG,155105046872,Bose Wave Radio II - Platinum White
00017-PL,Bose Wave Radio II Platinum White,ECWID,00973-W,Bose Wave Radio II - Platinum White
00018,Bose Wave Radio and CD Player AWRC-1P,AMAZON,113-7262710-8787424,Bose Wave Radio/CD Player - AWRC-1P White Certified (Renewed)
00018,Bose Wave Radio and CD Player AWRC-1P,ECWID,00968-W,Bose Wave Radio and CD Player AWRC-1P
00018-P-1-WH,Bose Wave Radio and CD Player AWRC-1P - Top Cover White,EBAY_USAV,363699381056,Bose Wave AM/FM Radio CD Player AWRC-1P  White  Top/Lid Control panel only
00018-P-2-WH,Bose Wave Radio and CD Player AWRC-1P - Remote Control White,EBAY_DRAGON,257229027000,"Bose Wave Radio/CD Remote Control for Model AWRC-1P, White"
00018-WH,Bose Wave Radio and CD Player AWRC-1P White,AMAZON,B0009I9AY0,Bose Wave Radio and CD Player AWRC-1P White
00019,Bose Link AL8 Wireless Audio Link,AMAZON,B0009JEZTY,Bose� Link AL8 homewide Wireless Audio Link
00019,Bose Link AL8 Wireless Audio Link,ECWID,01812,Bose� Link AL8 homewide Wireless Audio Link
00020,Bose CineMate Digital 2.1 Channel Home Theater Speaker System,ECWID,00974,Bose CineMate Digital 2.1 Channel Home Theater Speaker System
00020-N,Bose CineMate Digital 2.1 Channel Home Theater Speaker System New,AMAZON,B000A0QIEC,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - New Open Box
00020-N,Bose CineMate Digital 2.1 Channel Home Theater Speaker System New,EBAY_DRAGON,257183283368,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - New Open Box
00020-P-1,"Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Remote Control for 120, 130, 520",AMAZON,B00TEAYFTY,"Bose Cinemate Remote for 120, 130, and 520 systems"
00020-P-1,"Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Remote Control for 120, 130, 520",ECWID,01789-1,"Bose Cinemate Remote for 120, 130, and 520 systems"
00020-P-2-U,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Manual Used,EBAY_USAV,363496191002,Bose Cinemate Home Theater Speaker System Owner’s Guide Manual
00020-P-3,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - LCD Screen Soundtouch 520/130/220/120,EBAY_USAV,365740216927,LCD Screen Part for Bose Soundtouch 520/130/220/120 Cinemate 520/130/220/120
00020-P-4,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - LCD Display Soundtouch 520/130/220/120,ECWID,04053,Replacement LCD Display Part for Bose Soundtouch 520/130/220/120 Cinemate 520/130/220/120
00020-P-5,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Interface Module,ECWID,01228,Bose CineMate Interface Module for Series I
00020-P-6,Bose CineMate Digital 2.1 Channel Home Theater Speaker System - Speaker Cover Grill,EBAY_USAV,365173037237,Bose Cinemate Series I II III AV321 3-2-1 GS  Speaker Cover Grill
00021-BK,Bose Acoustimass 10 Series IV Home Entertainment Speaker System Black,AMAZON,B000GFPTQY,Bose Acoustimass 10 Series IV Home Entertainment Speaker System - Black
00021-BK,Bose Acoustimass 10 Series IV Home Entertainment Speaker System Black,EBAY_MEKONG,156181178396,Bose Acoustimass 10 Series IV Home Entertainment Speaker System (Black)
00021-BK,Bose Acoustimass 10 Series IV Home Entertainment Speaker System Black,EBAY_DRAGON,257191611947,Bose Acoustimass 10 Series IV Home Theater Speaker System Black
00021-BK,Bose Acoustimass 10 Series IV Home Entertainment Speaker System Black,ECWID,00800-B,Bose Acoustimass 10 Series IV Home Entertainment Speaker System (Black)
00021-P-1-BK,Bose Acoustimass 10 Series IV Home Entertainment Speaker System - Subwoofer Black,EBAY_USAV,364275878611,Bose Acoustimass 10 Series IV Subwoofer only  Home Entertainment System Black
00021-P-1-BK,Bose Acoustimass 10 Series IV Home Entertainment Speaker System - Subwoofer Black,ECWID,00800-B-SW,Bose Acoustimass 10 Series IV Subwoofer (Black)
00022,Bose Companion 3 Series II Multimedia Speaker System,AMAZON,B00064X4QM,Bose Companion 3 Series II Multimedia Speaker System
