Order #,Order Date,Item Id,Item,Category,Quantity,Item Price,Item End Time,Payment Date,Payment Amount,Tracking #,Tax,Additional Fee,Shipping Price,Handling Price,Donation,Shipped Date,Seller
60293855,2/2/2026,254001509,Lot of 3 Bose Audio Systems for Parts/Repair,Computers & Electronics > Home Electronics > Receivers & Radios,1,$130.00,2/2/2026,2/5/2026,$160.68,"464258982876	",$10.31,$0.00,$17.37,$3.00,$0.00,2/9/2026,Goodwill Industries of the Inland Northwest
60293991,2/2/2026,254270664,Lot Of Bose Speaker System Assorted Home Audio With Remote And Cables Untested,Computers & Electronics > Home Electronics > Speakers,1,$157.00,2/2/2026,2/3/2026,$226.11,"513430756087	",$12.64,$0.00,$50.47,$6.00,$0.00,2/12/2026,Goodwill Industries of San Antonio
60295685,2/2/2026,254270661,7pc Assorted Bose speaker lot,Computers & Electronics > Home Electronics > Speakers,1,$137.00,2/2/2026,2/3/2026,$184.90,"513430755150	",$11.09,$0.00,$30.81,$6.00,$0.00,2/12/2026,Goodwill Industries of San Antonio
60301035,2/3/2026,254083922,BOSE AV20 Control Console,Computers & Electronics > Home Electronics > Home Audio/Theater,1,$36.00,2/2/2026,2/5/2026,$56.85,"888660975976	",$3.04,$0.00,$14.56,$3.25,$0.00,2/10/2026,Goodwill Gulf Coast
60316610,2/3/2026,254139813,Bose SoundTouch SA-4 Amplifier,Computers & Electronics > Home Electronics,1,$182.53,2/3/2026,2/5/2026,$221.25,"398641550550	",$14.38,$0.00,$21.35,$2.99,$0.00,2/11/2026,Goodwill-Easter Seals MN
60322735,2/3/2026,254399371,Bose Home Theater Soundbar 700 Bass Module 700 Wireless Subwoofer Tested Working,Computers & Electronics > Home Electronics > Home Audio/Theater,1,$667.00,2/3/2026,2/5/2026,$762.08,"513430757750	",$52.16,$0.00,$36.92,$6.00,$0.00,2/14/2026,Goodwill Industries of San Antonio
60346647,2/4/2026,254281449,Bose Acoustimass Bass,Computers & Electronics > Home Electronics > Speakers,1,$281.00,2/4/2026,2/5/2026,$331.35,"398826167870	",$21.94,$0.00,$26.41,$2.00,$0.00,2/17/2026,Goodwill Industries of South Texas
60346668,2/4/2026,254315014,Bose Black Multimedia Speaker Pair,Computers & Electronics > Home Electronics > Speakers,1,$9.99,2/4/2026,2/5/2026,$28.40,"398552496429	",$1.04,$0.00,$13.87,$3.50,$0.00,2/9/2026,Goodwill Northern Michigan
60346729,2/4/2026,254261132,Bose Sounddock Series Ii Digital Music System,Computers & Electronics > Home Electronics,1,$19.66,2/4/2026,2/5/2026,$58.71,"398532422425	",$3.45,$0.00,$10.65,$0.00,$0.00,2/8/2026,Goodwill San Diego and Imperial Counties
60346729,2/4/2026,254265538,Bose Solo Tv Sound System,Computers & Electronics > Home Electronics,1,$24.95,2/4/2026,2/5/2026,$58.71,"398532422425	",$3.45,$0.00,$10.65,$0.00,$0.00,2/8/2026,Goodwill San Diego and Imperial Counties
60365128,2/5/2026,254378588,Pair of Bose 251 Environmental Speakers with Hanging Brackets - Power On,Computers & Electronics > Home Electronics > Speakers,1,$158.00,2/5/2026,2/6/2026,$213.48,"888608474662	",$12.48,$0.00,$40.00,$3.00,$0.00,2/9/2026,"Goodwill Industries of the Chesapeake, Inc."
60365215,2/5/2026,254365062,Bose Wave Music System IV With SoundTouch Pedestal Base - Tested/No Power Cord,Computers & Electronics > Home Electronics > Home Audio/Theater,1,$346.00,2/5/2026,2/10/2026,$387.24,"888695802880	",$26.82,$0.00,$14.42,$0.00,$0.00,2/11/2026,Goodwill Industries of the Southern Rivers
60370010,2/5/2026,254675242,Bose Speaker System,Computers & Electronics > Home Electronics > Speakers,1,$14.99,2/5/2026,2/6/2026,$32.42,"398642384413	",$1.55,$0.00,$10.88,$5.00,$0.00,2/11/2026,Goodwill of Greater Washington D.C. -VA
60370022,2/5/2026,254673900,Lot Of 4 Bose Acoustimass Redline Double Cube Speakers,Computers & Electronics > Home Electronics > Speakers,1,$34.55,2/5/2026,2/6/2026,$72.99,"398650101203	",$3.07,$0.00,$30.37,$5.00,$0.00,2/11/2026,Goodwill of Greater Washington D.C. -VA
60370082,2/5/2026,254380497,Bose Vcs-10 Center Channel Speaker for Surround Sound Home Theatre System,Computers & Electronics > Home Electronics,1,$15.00,2/5/2026,2/9/2026,$25.32,"398646026613	",$1.16,$0.00,$9.16,$0.00,$0.00,2/11/2026,Goodwill San Diego and Imperial Counties
60370093,2/5/2026,254350355,Bose VCS 10 Center Channel Speaker And Cube Speakers,Computers & Electronics > Home Electronics > Speakers,1,$34.00,2/5/2026,2/6/2026,$79.13,"398672173056	",$2.64,$0.00,$42.49,$0.00,$0.00,2/12/2026,MERS/Missouri Goodwill Industries
60410699,2/8/2026,254559530,Bose Acoustimass Cube Speaker Home Theater,Computers & Electronics > Home Electronics > Speakers,1,$55.00,2/7/2026,2/9/2026,$87.48,"398667068342	",$4.41,$0.00,$26.08,$1.99,$0.00,2/12/2026,Goodwill Industries of Mid Michigan
60410846,2/8/2026,254484443,Bose Acoustimass 6 III Home Theater Speakers,Computers & Electronics > Home Electronics > Speakers,1,$61.00,2/6/2026,2/10/2026,$85.55,"398653320008	",$4.94,$0.00,$16.86,$2.75,$0.00,2/11/2026,Goodwill South Central California
60410997,2/8/2026,254466904,Bose Solo TV Speaker 418775,Computers & Electronics > Home Electronics > Speakers,1,$29.99,2/6/2026,2/10/2026,$43.05,"398778177821	",$2.32,$0.00,$10.74,$0.00,$0.00,2/16/2026,MERS/Missouri Goodwill Industries
60417096,2/8/2026,254546798,Bose Cube Speaker Set with Cables - Not Tested,Computers & Electronics > Home Electronics > Speakers,1,$19.99,2/8/2026,2/8/2026,$36.04,"441475679651	",$1.71,$0.00,$12.34,$2.00,$0.00,2/10/2026,Goodwill Industries of the Columbia Willamette
60419217,2/8/2026,254594136,Bose LifeStyle AV18 Media Center w/ LSPS Speaker System Subwoofer & Speakers,Computers & Electronics > Home Electronics,1,$102.88,2/8/2026,2/9/2026,$132.60,"888729487880	",$8.24,$0.00,$17.99,$3.49,$0.00,2/12/2026,Goodwill Industries of Ventura and Santa Barbara Counties
60419678,2/8/2026,254741344,Bose SoundDock Series II Digital Music System with Power Adapter,Computers & Electronics > Home Electronics > Speakers,1,$9.97,2/8/2026,2/10/2026,$27.53,"398650113012	",$1.00,$0.00,$13.57,$2.99,$0.00,2/11/2026,Goodwill of Central & Southern Indiana
60420003,2/8/2026,254888989,3 Bose Speakers,Computers & Electronics > Home Electronics > Speakers,1,$43.00,2/8/2026,2/10/2026,$68.64,"888906004178	",$3.49,$0.00,$20.15,$2.00,$0.00,2/19/2026,Goodwill Industries of the Southern Piedmont
60438597,2/9/2026,254893823,Bose Center Channel Speaker Vcs-10 Black 6 Ohm 50w Home Theater Untested,Computers & Electronics > Home Electronics > Speakers,1,$16.41,2/9/2026,2/10/2026,$32.72,"398782468622	",$1.58,$0.00,$10.74,$3.99,$0.00,2/16/2026,Goodwill of Colorado
60438723,2/9/2026,254795771,"Bose Companion Control Pod,",Computers & Electronics > Personal Electronics,1,$16.99,2/8/2026,2/11/2026,$116.82,"398786677570	",$6.89,$0.00,$20.96,$15.00,$0.00,2/16/2026,Goodwill of Greater Washington D.C. -VA
60438723,2/9/2026,254964294,Bose Companion 2 Series Iii Set,Computers & Electronics > Home Electronics > Speakers,1,$28.00,2/8/2026,2/11/2026,$116.82,"398786677570	",$6.89,$0.00,$20.96,$15.00,$0.00,2/16/2026,Goodwill of Greater Washington D.C. -VA
60438723,2/9/2026,255048799,Pair Of Bose Av3 2 1ii Speakers,Computers & Electronics > Home Electronics > Speakers,1,$14.99,2/8/2026,2/11/2026,$116.82,"398786677570	",$6.89,$0.00,$20.96,$15.00,$0.00,2/16/2026,Goodwill of Greater Washington D.C. -VA
60438723,2/9/2026,255200988,Pair Of Bose Speakers,Computers & Electronics > Home Electronics > Speakers,1,$13.99,2/9/2026,2/11/2026,$116.82,"398786677570	",$6.89,$0.00,$20.96,$15.00,$0.00,2/16/2026,Goodwill of Greater Washington D.C. -VA
60440182,2/9/2026,254924615,Bose Acoustimass Surround Wired Speaker System | Tested,Computers & Electronics > Home Electronics > Speakers,1,$29.99,2/9/2026,2/10/2026,$53.85,"398644808999	",$2.55,$0.00,$18.31,$3.00,$0.00,2/11/2026,"Goodwill Industries of Middle Tennessee, Inc."
60440310,2/9/2026,255116273,Bose Wave Music System III Silver CD Player/Radio,Computers & Electronics > Home Electronics > CD Players,1,$169.00,2/9/2026,2/10/2026,$185.34,"398809675229	",$13.33,$0.00,$0.01,$3.00,$0.00,2/17/2026,Marion Goodwill Industries
60442895,2/9/2026,254901950,Bose Wave Music System Model Awrcc2 W/ Remote,Computers & Electronics > Home Electronics > CD Players,1,$178.60,2/9/2026,2/10/2026,$209.10,"398783352671	",$14.15,$0.00,$12.36,$3.99,$0.00,2/16/2026,Goodwill of Colorado
60449316,2/10/2026,254679015,BOSE Wave Music System,Computers & Electronics > Home Electronics > Home Audio/Theater,1,$142.00,2/9/2026,2/10/2026,$173.15,"888806109401	",$11.26,$0.00,$16.64,$3.25,$0.00,2/16/2026,Goodwill Gulf Coast
60449631,2/10/2026,255055729,Bose Wave Music System Black Audio Player Expansion Multi CD Changer Not Tested,Computers & Electronics > Personal Electronics,1,$29.22,2/9/2026,2/10/2026,$65.31,"398709800510	",$2.65,$0.00,$28.44,$5.00,$0.00,2/13/2026,Goodwill Industries of South Florida
60460793,2/10/2026,254798428,"Pair of Bose 151 Environmental Speakers, White 9x6, 40W IEC 4",Computers & Electronics > Home Electronics > Speakers,1,$29.11,2/10/2026,2/11/2026,$51.50,"398828334053	",$2.49,$0.00,$16.90,$3.00,$0.00,2/17/2026,Goodwill Industries of Middle Georgia
60469756,2/10/2026,254795429,Vintage Bose 3-2-1 2.1 Channel DVD Home Entertainment System DTS Surround,Computers & Electronics > Home Electronics > Home Audio/Theater,1,$76.00,2/10/2026,2/13/2026,$116.10,"398854465155	",$6.05,$0.00,$32.05,$2.00,$0.00,2/18/2026,Goodwill Houston
60469860,2/10/2026,254768613,"BOSE VCS-10 Center Channel Speaker, Not Tested",Computers & Electronics > Home Electronics > Speakers,1,$29.00,2/10/2026,2/11/2026,$45.92,"398728496224	",$2.25,$0.00,$14.67,$0.00,$0.00,2/13/2026,Goodwill Industries of Kansas INC.
60469878,2/10/2026,254989508,Bose Acoustimass 10 Large Speaker,Computers & Electronics > Home Electronics > Speakers,1,$8.99,2/10/2026,2/12/2026,$62.51,"398831312489	",$0.93,$0.00,$49.60,$2.99,$0.00,2/17/2026,Goodwill Industries of North Florida
60469894,2/10/2026,254982404,10pc Assorted Bose Speaker Lot,Computers & Electronics > Home Electronics > Speakers,1,$50.00,2/10/2026,2/11/2026,$96.15,"513430765221	",$4.35,$0.00,$35.80,$6.00,$0.00,2/20/2026,Goodwill Industries of San Antonio
60469922,2/10/2026,254963969,Bose Acoustimass 16 Home Entertainment Speaker System,Computers & Electronics > Home Electronics > Speakers,1,$301.00,2/10/2026,2/13/2026,$395.00,"513430767268	",$23.95,$0.00,$62.05,$8.00,$0.00,2/24/2026,Goodwill Industries of San Antonio
60469945,2/11/2026,254374121,Set of 4 Bose Redline Double Cube Speakers,Computers & Electronics > Home Electronics > Speakers,1,$43.55,2/10/2026,2/11/2026,$56.81,"888744024164	",$3.38,$0.00,$9.88,$0.00,$0.00,2/12/2026,Goodwill San Diego and Imperial Counties
