groupid,Group Name,Product Type,Product Color,Product Condition,name,Component Type,Included Products,groupsize,idingroup,strippedname,sku,platform,ASIN,matching_likelihood,matching_method,ParentProduct,SKU_Role,source_asin,source_sku,source_title,merge_source,merge_match_type
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Environmental Speaker Pair with Brackets - White,,,16,0,Bose 151 Environmental Speaker with Brackets,00840,Ecwid,,100,stripped_name,Environmental Speaker,P,B00006I539,00840,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,1,Bose 151 Environmental Speaker with Brackets,22-ZADD-U0F6,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,22-ZADD-U0F6,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,2,Bose 151 Environmental Speaker with Brackets,3I-6PZF-KYE1,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,3I-6PZF-KYE1,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,3,Bose 151 Environmental Speaker with Brackets,3V-OW2E-LOA9,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,3V-OW2E-LOA9,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,4,Bose 151 Environmental Speaker with Brackets,DZ-VPKS-TNHV,Amazon,B00006I539,100,stripped_name,Speaker,K,B00006I539,DZ-VPKS-TNHV,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,5,Bose 151 Environmental Speaker with Brackets,H2-XEVW-ZDV0,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,H2-XEVW-ZDV0,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,6,Bose 151 Environmental Speaker with Brackets,IF-UI8G-9BWC,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,IF-UI8G-9BWC,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,7,Bose 151 Environmental Speaker with Brackets,J4-QVJP-GXO0,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,J4-QVJP-GXO0,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,8,Bose 151 Environmental Speaker with Brackets,PG-K9QT-PT7K,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,PG-K9QT-PT7K,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,9,Bose 151 Environmental Speaker with Brackets,QX-HY65-52IN,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,QX-HY65-52IN,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,10,Bose 151 Environmental Speaker with Brackets,RD-Y5DR-4L94,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,RD-Y5DR-4L94,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,11,Bose 151 Environmental Speaker with Brackets,TL-6BLE-BF1B,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,TL-6BLE-BF1B,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,12,Bose 151 Environmental Speaker with Brackets,XT-21G6-GU8O,Amazon,B00006I539,100,stripped_name,Speaker,P,B00006I539,XT-21G6-GU8O,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,13,Bose 151 Environmental Speaker with Brackets,157375974862,MEKONG_eBay,,100,stripped_name,Speaker,P,B00006I539,157375974862,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,,,Bose 151 Environmental Speaker Pair with Brackets,,,16,14,Bose 151 Environmental Speaker with Brackets,00840-BL,Ecwid,,100,stripped_name,Speaker,K,B00006I539,00840-BL,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,Bose 151 Environmental Speaker Pair with Brackets (Black),,,16,15,Bose 151 Environmental Speaker with Brackets,00840-B,Ecwid,,100,stripped_name,Speaker,P,B00006I539,00840-B,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,0,Bose 151 Indoor Outdoor Speaker,0V-67IY-8A9E,Amazon,B00007AJ8B,100,stripped_name,Speaker,P,B00007AJ8B,0V-67IY-8A9E,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,1,Bose 151 Indoor Outdoor Speaker,8F-VBG0-DB0S,Amazon,B00007AJ8B,100,stripped_name,Speaker,P,B00007AJ8B,8F-VBG0-DB0S,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,2,Bose 151 Indoor Outdoor Speaker,B1-Y7L8-QEMI,Amazon,B00007AJ8B,100,stripped_name,Speaker,P,B00007AJ8B,B1-Y7L8-QEMI,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,3,Bose 151 Indoor Outdoor Speaker,C7-63RX-1CO8,Amazon,B00007AJ8B,100,stripped_name,Speaker,P,B00007AJ8B,C7-63RX-1CO8,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,4,Bose 151 Indoor Outdoor Speaker,L0-YRJ2-E5WE,Amazon,B00007AJ8B,100,stripped_name,Speaker,P,B00007AJ8B,L0-YRJ2-E5WE,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,5,Bose 151 Indoor Outdoor Speaker,PJ-TZRB-10VJ,Amazon,B00007AJ8B,100,stripped_name,Speaker,P,B00007AJ8B,PJ-TZRB-10VJ,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,6,Bose 151 Indoor Outdoor Speaker,PT-D051-M7LE,Amazon,B00007AJ8B,100,stripped_name,Speaker,P,B00007AJ8B,PT-D051-M7LE,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,7,Bose 151 Indoor Outdoor Speaker,8K-PJTL-U9GG,Amazon,B00007AJ8B,100,stripped_name,Speaker,P,B00007AJ8B,8K-PJTL-U9GG,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,8,Bose 151 Indoor Outdoor Speaker,PX-J7AV-6HPR,Amazon,B00007AJ8B,100,stripped_name,Speaker,P,B00007AJ8B,PX-J7AV-6HPR,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair - White,,,12,9,Bose 151 Indoor Outdoor Speaker,267459010323,DRAGON_eBay,,100,stripped_name,Speaker,P,B00007AJ8B,267459010323,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,10,Bose 151 Indoor Outdoor Speaker,157309014481,MEKONG_eBay,,100,stripped_name,Speaker,P,B00007AJ8B,157309014481,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,Bose 151 Indoor/Outdoor Speaker Pair (White),,,12,11,Bose 151 Indoor Outdoor Speaker,00840-W,Ecwid,,100,stripped_name,Speaker,P,B00007AJ8B,00840-W,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,WH,,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair,Wall Mount Brackets,,7,0,USAV Wall Brackets for Bose 151 Speaker,JN-01VZ-B5DJ,Amazon,B07RZVRMS8,100,stripped_name,Speaker,A,B07RZVRMS8,JN-01VZ-B5DJ,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,WH,,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair,Wall Mount Brackets,,7,1,USAV Wall Brackets for Bose 151 Speaker,XO-85M2-PWLI,Amazon,B07RZVRMS8,100,stripped_name,Speaker,A,B07RZVRMS8,XO-85M2-PWLI,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,WH,,Wall Mount brackets For White Bose 151 speaker - Pair,Wall Mount Brackets,,7,2,Wall brackets For Bose 151 speaker,154530956508,MEKONG_eBay,,1.31,threshold,Speaker,A,B07RZVRMS8,154530956508,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,WH,,Wall Mount brackets For White Bose 151 speaker - Pair,Wall Mount Brackets,,7,3,Wall brackets For Bose 151 speaker,01204,Ecwid,,1.31,threshold,Speaker,A,B07RZVRMS8,01204,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,WH,,Wall Mount brackets For White Bose 151 speaker - Pair,Wall Mount Brackets,,7,4,Wall brackets For Bose 151 speaker,265730206847,DRAGON_eBay,,1.16,threshold,Speaker,A,B07RZVRMS8,265730206847,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,WH,,Wall Mount brackets For White Bose 151 speaker - Pair,Wall Mount Brackets,,7,5,Wall brackets For Bose 151 speaker,01204-1,Ecwid,,1.16,threshold,Speaker,A,B07RZVRMS8,01204-1,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,WH,,Plastic Wall Mount brackets For White Bose 151 Speaker - Pair,Wall Mount Brackets,,7,6,Plastic Wall brackets For Bose 151 Speaker,362745863727,USAV_eBay,,1.07,threshold,Speaker,A,B07RZVRMS8,362745863727,USAV Wall Mount Brackets for White Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,,,Genuine Bose Adjustable Tilt-Mount Brackets for Bose 151 Speaker - Single,Adjustable Tilt-Mount Brackets,,3,0,Bose Adjustable Tilt-Mount Brackets for Bose 151 Speaker Single,157189642362,MEKONG_eBay,,100,stripped_name,Speaker,,,157189642362,Genuine Bose Adjustable Tilt-Mount Brackets for Bose 151 Speaker - Single,ebay_only,
5,Bose 151 Environmental Speaker Pair,Parts,,,Genuine Bose Adjustable Tilt-Mount Brackets for Bose 151 Speaker - Single,Adjustable Tilt-Mount Brackets,,3,1,Bose Adjustable Tilt-Mount Brackets for Bose 151 Speaker Single,05078,Ecwid,,100,stripped_name,Speaker,,,157189642362,Genuine Bose Adjustable Tilt-Mount Brackets for Bose 151 Speaker - Single,ebay_only,
5,Bose 151 Environmental Speaker Pair,Parts,WH,,Genuine Bose Adjustable Tilt-Mount Brackets for Bose 151 - Single - White,Adjustable Tilt-Mount Brackets,,3,2,Bose Adjustable Tilt-Mount Brackets for Bose 151 Single,157189619115,MEKONG_eBay,,1.22,threshold,Speaker,,,157189642362,Genuine Bose Adjustable Tilt-Mount Brackets for Bose 151 Speaker - Single,ebay_only,
6,Bose 201-V Stereo Loudspeakers,Product,BK,,Bose 201-V Stereo Loudspeakers (Pair) - Black,,,7,0,Bose 201-V Stereo Loudspeakers,BB-RLRZ-J0GE,Amazon,B00006L7RT,100,stripped_name,Speaker,P,B00006L7RT,BB-RLRZ-J0GE,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,BK,,Bose 201-V Stereo Loudspeakers (Pair) - Black,,,7,1,Bose 201-V Stereo Loudspeakers,TS-RWM9-U75O,Amazon,B00006L7RT,100,stripped_name,Speaker,P,B00006L7RT,TS-RWM9-U75O,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,BK,,Bose 201-V Stereo Loudspeakers (Pair) - Black,,,7,2,Bose 201-V Stereo Loudspeakers,1T-QXW6-SIGH,Amazon,B00006L7RT,100,stripped_name,Speaker,P,B00006L7RT,1T-QXW6-SIGH,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,BK,,Bose 201-V Stereo Loudspeakers (Pair) - Black,,,7,3,Bose 201-V Stereo Loudspeakers,HO-9EQJ-40R4,Amazon,B00006L7RT,100,stripped_name,Speaker,P,B00006L7RT,HO-9EQJ-40R4,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,,,BOSE 201-V Stereo Loudspeakers Pair,,,7,4,BOSE 201-V Stereo Loudspeakers,267459020324,DRAGON_eBay,,100,stripped_name,Speaker,P,B00006L7RT,267459020324,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,,,BOSE 201-V Stereo Loudspeakers (Pair),,,7,5,BOSE 201-V Stereo Loudspeakers,01257,Ecwid,,100,stripped_name,Speaker,P,B00006L7RT,01257,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,CH,,Bose 201-V Stereo Loudspeakers (Pair) - Cherry,,,7,6,Bose 201-V Stereo Loudspeakers Cherry,T2-ENP1-0DEE,Amazon,B00006L7RU,1.06,threshold,Speaker,P,B00006L7RT,T2-ENP1-0DEE,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,BK,,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair,Wall Mount Brackets,,9,0,USAV Solutions Metal Wall Brackets for Bose 151 Speaker,JN-062U-00C1,Amazon,B08HMCW5JK,100,stripped_name,Speaker,A,B08HMCW5JK,JN-062U-00C1,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,BK,,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair,Wall Mount Brackets,,9,1,USAV Solutions Metal Wall Brackets for Bose 151 Speaker,K8-2O45-92RM,Amazon,B08HMCW5JK,100,stripped_name,Speaker,A,B08HMCW5JK,K8-2O45-92RM,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,BK,,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair,Wall Mount Brackets,,9,2,USAV Solutions Metal Wall Brackets for Bose 151 Speaker,PO-BE51-TWC2,Amazon,B08HMCW5JK,100,stripped_name,Speaker,A,B08HMCW5JK,PO-BE51-TWC2,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,BK,,Wall Mount brackets For Black Bose 151 speaker -  Pair,Wall Mount Brackets,,9,5,Wall brackets For Bose 151 speaker,04770,Ecwid,,1.02,threshold,Speaker,A,B08HMCW5JK,04770,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,BK,,Plastic Wall Mount brackets For Black Bose 151 speaker - Pair,Wall Mount Brackets,,9,6,Plastic Wall brackets For Bose 151 speaker,363100692206,USAV_eBay,,0.95,threshold,Speaker,A,B08HMCW5JK,363100692206,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,BK,,USAV Plastic Wall Mount Brackets for Black Bose 151 Speaker - Pair,Wall Mount Brackets,,9,7,USAV Plastic Wall Brackets for Bose 151 Speaker,T8-AURY-ZFNG,Amazon,B0CVR334W9,0.92,threshold,Speaker,A,B08HMCW5JK,T8-AURY-ZFNG,USAV Solutions Metal Wall Mount Brackets for Black Bose 151 Speaker - Pair,amazon_only,
5,Bose 151 Environmental Speaker Pair,Parts,BK,,Genuine Bose WB-10 ( Black ) Wall Brackets for Bose Model 151 Speakers,WB-10 Wall Brackets,,10,0,Bose WB-10 Wall Brackets for Bose Model 151 Speakers,364490800898,USAV_eBay,,100,stripped_name,Speaker,,,257184231419,Bose WB-10 (Black) Wall brackets for Bose Model 151 speakers,ebay_only,
5,Bose 151 Environmental Speaker Pair,Parts,BK,,Bose WB-10 (Black) Wall brackets for Bose Model 151 speakers,WB-10 Wall Brackets,,10,1,Bose WB-10 Wall brackets for Bose Model 151 speakers,257184231419,DRAGON_eBay,,100,stripped_name,Speaker,,,257184231419,Bose WB-10 (Black) Wall brackets for Bose Model 151 speakers,ebay_only,
5,Bose 151 Environmental Speaker Pair,Parts,BK,,Bose WB-10 (Black) Wall brackets for Bose Model 151 speakers,WB-10 Wall Brackets,,10,2,Bose WB-10 Wall brackets for Bose Model 151 speakers,257184298118,DRAGON_eBay,,100,stripped_name,Speaker,,,257184231419,Bose WB-10 (Black) Wall brackets for Bose Model 151 speakers,ebay_only,
5,Bose 151 Environmental Speaker Pair,Parts,WH,,Bose WB-10 (White) Wall brackets for Bose Model 151 speakers,WB-10 Wall Brackets,,10,3,Bose WB-10 Wall brackets for Bose Model 151 speakers,156140561216,MEKONG_eBay,,100,stripped_name,Speaker,,,257184231419,Bose WB-10 (Black) Wall brackets for Bose Model 151 speakers,ebay_only,
5,Bose 151 Environmental Speaker Pair,Parts,BK,,Bose WB-10 (Black) Wall brackets for Bose Model 151 speakers,WB-10 Wall Brackets,,10,4,Bose WB-10 Wall brackets for Bose Model 151 speakers,04769,Ecwid,,100,stripped_name,Speaker,,,257184231419,Bose WB-10 (Black) Wall brackets for Bose Model 151 speakers,ebay_only,
5,Bose 151 Environmental Speaker Pair,Parts,WH,,Bose WB-10 (White) Wall brackets for Bose Model 151 speakers,WB-10 Wall Brackets,,10,5,Bose WB-10 Wall brackets for Bose Model 151 speakers,00064,Ecwid,,100,stripped_name,Speaker,,,257184231419,Bose WB-10 (Black) Wall brackets for Bose Model 151 speakers,ebay_only,
5,Bose 151 Environmental Speaker Pair,Parts,,,Genuine Bose Metal Wall Brackets for Bose Model 151 Speakers,WB-10 Wall Brackets,,10,6,Bose Metal Wall Brackets for Bose Model 151 Speakers,364490802363,USAV_eBay,,100,stripped_name,Speaker,,,364490802363,Genuine Bose Metal Wall Brackets for Bose Model 151 Speakers,ebay_only,
